title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
The Thompsons,2012-08-21,3000000,0,50,4.7,84,128841,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Red Clover,2012-03-17,0,0,50,5.3,88,97589,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Ben 10: Destroy All Aliens,2012-03-11,0,0,50,6.1,66,96826,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Loneliest Planet,2012-05-25,0,0,50,5.7,113,82321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Wolf of Wall Street,2013-12-25,100000000,392000000,21017,8.034,180,106646,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 3,2013-04-18,200000000,1214811252,20301,6.929,130,68721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thor: The Dark World,2013-10-30,170000000,644571402,15709,6.556,112,76338,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Catching Fire,2013-11-15,130000000,865011746,15544,7.422,146,101299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Frozen,2013-11-20,150000000,1274219009,14908,7.25,102,109445,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Now You See Me,2013-05-29,75000000,351723989,14237,7.344,116,75656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gravity,2013-10-03,105000000,723192705,13922,7.16,91,49047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
World War Z,2013-06-20,200000000,531865000,13771,6.8,116,72190,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
